INDEX	TRACK NUMBER	LOCAL DATE	LOCAL TIME	LATITUDE	N/S	LONGITUDE	E/W	ALTITUDE	SPEED
1	1	5.4.2012	8:26:05	49,234818	N	16,528629	E	226,976929	37,584
2	1	5.4.2012	8:26:06	49,234913	N	16,528574	E	226,957397	41,796001
3	1	5.4.2012	8:26:07	49,235016	N	16,528519	E	227,59021	43,200001
4	1	5.4.2012	8:26:08	49,235119	N	16,528465	E	227,930054	42,588001
5	1	5.4.2012	8:26:09	49,235222	N	16,528408	E	229,62146	43,956001
6	1	5.4.2012	8:26:10	49,235329	N	16,528347	E	230,469116	48,023998
7	1	5.4.2012	8:26:11	49,235443	N	16,528284	E	230,937866	51,012001
8	1	5.4.2012	8:26:12	49,235565	N	16,528221	E	231,734741	51,264
9	1	5.4.2012	8:26:13	49,235687	N	16,528162	E	231,969116	50,580002
10	1	5.4.2012	8:26:14	49,235806	N	16,528103	E	232,629272	49,824001
11	1	5.4.2012	8:26:15	49,235924	N	16,52804	E	233,02771	49,391998
12	1	5.4.2012	8:26:16	49,236042	N	16,527979	E	233,625366	50,112
13	1	5.4.2012	8:26:17	49,23616	N	16,52792	E	234,254272	50,868
14	1	5.4.2012	8:26:18	49,236282	N	16,527864	E	234,578491	49,139999
15	1	5.4.2012	8:26:19	49,236401	N	16,527807	E	235,586304	47,304001
16	1	5.4.2012	8:26:20	49,236515	N	16,527754	E	236,187866	46,98
17	1	5.4.2012	8:26:21	49,236629	N	16,527697	E	237,117554	46,908001
18	1	5.4.2012	8:26:22	49,236744	N	16,527641	E	237,656616	46,655998
19	1	5.4.2012	8:26:23	49,236851	N	16,527588	E	238,504272	44,279999
20	1	5.4.2012	8:26:24	49,236958	N	16,527538	E	239,043335	42,731998
21	1	5.4.2012	8:26:25	49,237061	N	16,527487	E	239,676147	41,507999
22	1	5.4.2012	8:26:26	49,23716	N	16,527441	E	240,30896	40,068001
23	1	5.4.2012	8:26:27	49,237251	N	16,527401	E	240,410522	37,728001
24	1	5.4.2012	8:26:28	49,237343	N	16,52737	E	241,019897	34,632
25	1	5.4.2012	8:26:30	49,237511	N	16,52737	E	241,52771	32,436001
26	1	5.4.2012	8:26:32	49,237621	N	16,527506	E	242,793335	30,672001
27	1	5.4.2012	8:26:34	49,23769	N	16,527742	E	243,515991	36,647999
28	1	5.4.2012	8:26:35	49,23772	N	16,527885	E	243,762085	40,355999
29	1	5.4.2012	8:26:36	49,237755	N	16,52804	E	244,598022	43,127998
30	1	5.4.2012	8:26:37	49,237793	N	16,528202	E	245,30896	44,891998
31	1	5.4.2012	8:26:38	49,237823	N	16,528368	E	245,828491	43,380001
32	1	5.4.2012	8:26:39	49,237865	N	16,528522	E	246,414429	42,228001
33	1	5.4.2012	8:26:40	49,2379	N	16,528679	E	246,90271	44,748001
34	1	5.4.2012	8:26:41	49,237934	N	16,528845	E	247,523804	45,251999
35	1	5.4.2012	8:26:42	49,237957	N	16,529016	E	248,285522	43,848
36	1	5.4.2012	8:26:43	49,237988	N	16,529177	E	249,172241	43,632
37	1	5.4.2012	8:26:44	49,238014	N	16,529345	E	250,191772	43,883999
38	1	5.4.2012	8:26:45	49,238045	N	16,52951	E	251,445679	44,928001
39	1	5.4.2012	8:26:46	49,238079	N	16,52968	E	252,344116	44,928001
40	1	5.4.2012	8:26:47	49,238117	N	16,529848	E	252,980835	45,287998
41	1	5.4.2012	8:26:48	49,238155	N	16,53001	E	253,644897	45,251999
42	1	5.4.2012	8:26:49	49,23822	N	16,530159	E	253,598022	42,012001
43	1	5.4.2012	8:26:50	49,238289	N	16,530277	E	254,144897	40,860001
44	1	5.4.2012	8:26:51	49,23838	N	16,530357	E	254,816772	40,464001
45	1	5.4.2012	8:26:52	49,238487	N	16,530403	E	254,55896	43,919998
46	1	5.4.2012	8:26:53	49,238598	N	16,530428	E	255,758179	42,875999
47	1	5.4.2012	8:26:54	49,238708	N	16,530447	E	257,063232	44,639999
48	1	5.4.2012	8:26:55	49,238819	N	16,530468	E	257,446045	45,792
49	1	5.4.2012	8:26:56	49,238937	N	16,530489	E	258,571045	46,439999
50	1	5.4.2012	8:26:57	49,239056	N	16,530495	E	258,977295	47,195999
51	1	5.4.2012	8:26:58	49,239178	N	16,530491	E	259,156982	48,167999
52	1	5.4.2012	8:26:59	49,2393	N	16,530478	E	260,250732	48,708
53	1	5.4.2012	8:27:00	49,239422	N	16,530468	E	260,071045	49,787998
54	1	5.4.2012	8:27:01	49,239548	N	16,530458	E	260,55542	50,832001
55	1	5.4.2012	8:27:02	49,239674	N	16,530447	E	261,235107	51,48
56	1	5.4.2012	8:27:03	49,239803	N	16,530434	E	261,89917	51,731998
57	1	5.4.2012	8:27:04	49,239929	N	16,530418	E	262,594482	51,984001
58	1	5.4.2012	8:27:05	49,240063	N	16,530405	E	263,102295	53,459999
59	1	5.4.2012	8:27:06	49,240196	N	16,530394	E	263,719482	54,936001
60	1	5.4.2012	8:27:07	49,240337	N	16,530376	E	264,727295	56,771999
61	1	5.4.2012	8:27:08	49,240482	N	16,530361	E	265,078857	59,147999
62	1	5.4.2012	8:27:09	49,240635	N	16,530344	E	265,05542	60,875999
63	1	5.4.2012	8:27:10	49,240791	N	16,530319	E	264,914795	60,84
64	1	5.4.2012	8:27:11	49,240944	N	16,530304	E	265,133545	60,228001
65	1	5.4.2012	8:27:12	49,241093	N	16,530289	E	265,36792	59,507999
66	1	5.4.2012	8:27:13	49,241245	N	16,530272	E	265,328857	60,551998
67	1	5.4.2012	8:27:14	49,241402	N	16,530258	E	265,281982	61,740002
68	1	5.4.2012	8:27:15	49,241558	N	16,530243	E	265,625732	62,063999
69	1	5.4.2012	8:27:16	49,241718	N	16,530228	E	265,664795	64,367996
70	1	5.4.2012	8:27:17	49,241882	N	16,530209	E	265,453857	65,375999
